frame,slot,ue,rapid,total_cce,occupied,free,agg,cand,result
834,10,ae53,0,8,0,8,4,2,success
834,10,025e,1,8,4,4,4,2,success
834,10,64e1,,8,8,0,4,2,fail
834,10,e78f,,8,8,0,4,2,fail
834,17,64e1,2,8,0,8,4,2,success
834,17,e78f,3,8,4,4,4,2,success
836,10,a73b,0,8,0,8,4,2,success
836,10,ca1c,1,8,4,4,4,2,success
836,10,74c9,,8,8,0,4,2,fail
836,10,e350,,8,8,0,4,2,fail
836,17,74c9,2,8,0,8,4,2,success
836,17,e350,3,8,4,4,4,2,success
838,10,94e0,0,8,0,8,4,2,success
838,10,33d7,1,8,4,4,4,2,success
838,10,cc91,,8,8,0,4,2,fail
838,10,af14,,8,8,0,4,2,fail
838,17,cc91,2,8,0,8,4,2,success
838,17,af14,3,8,4,4,4,2,success
840,10,8e66,0,8,0,8,4,2,success
840,10,3799,1,8,4,4,4,2,success
840,10,c2c4,,8,8,0,4,2,fail
840,10,a2e5,,8,8,0,4,2,fail
840,17,c2c4,2,8,0,8,4,2,success
840,17,a2e5,3,8,4,4,4,2,success
842,10,5193,0,8,0,8,4,2,success
842,10,161d,1,8,4,4,4,2,success
842,10,4a5e,,8,8,0,4,2,fail
842,10,f52f,,8,8,0,4,2,fail
842,17,4a5e,2,8,0,8,4,2,success
842,17,f52f,3,8,4,4,4,2,success
844,10,2282,0,8,0,8,4,2,success
844,10,5d26,1,8,4,4,4,2,success
844,10,60f7,,8,8,0,4,2,fail
844,10,fe8f,,8,8,0,4,2,fail
844,17,60f7,2,8,0,8,4,2,success
844,17,fe8f,3,8,4,4,4,2,success
846,10,99b9,0,8,0,8,4,2,success
846,10,3fd2,1,8,4,4,4,2,success
846,10,4dac,,8,8,0,4,2,fail
846,10,f358,,8,8,0,4,2,fail
846,17,4dac,2,8,0,8,4,2,success
846,17,f358,3,8,4,4,4,2,success
848,10,6a69,0,8,0,8,4,2,success
848,10,b7e0,1,8,4,4,4,2,success
848,10,e275,,8,8,0,4,2,fail
848,10,112e,,8,8,0,4,2,fail
848,17,e275,2,8,0,8,4,2,success
848,17,112e,3,8,4,4,4,2,success
850,10,d6c4,0,8,0,8,4,2,success
850,10,d948,1,8,4,4,4,2,success
850,10,9bb9,,8,8,0,4,2,fail
850,10,e080,,8,8,0,4,2,fail
850,17,9bb9,2,8,0,8,4,2,success
850,17,e080,3,8,4,4,4,2,success
852,10,30d6,0,8,0,8,4,2,success
852,10,dd02,1,8,4,4,4,2,success
852,10,610d,,8,8,0,4,2,fail
852,10,825d,,8,8,0,4,2,fail
852,17,610d,2,8,0,8,4,2,success
852,17,825d,3,8,4,4,4,2,success
854,10,f566,0,8,0,8,4,2,success
854,10,ef5d,1,8,4,4,4,2,success
854,10,0554,,8,8,0,4,2,fail
854,10,e152,,8,8,0,4,2,fail
854,17,0554,2,8,0,8,4,2,success
854,17,e152,3,8,4,4,4,2,success
856,10,2df8,0,8,0,8,4,2,success
856,10,db51,1,8,4,4,4,2,success
856,10,e400,,8,8,0,4,2,fail
856,10,1329,,8,8,0,4,2,fail
856,17,e400,2,8,0,8,4,2,success
856,17,1329,3,8,4,4,4,2,success
858,10,8dda,0,8,0,8,4,2,success
858,10,f8bb,1,8,4,4,4,2,success
858,10,ba4e,,8,8,0,4,2,fail
858,10,ffb4,,8,8,0,4,2,fail
858,17,ba4e,2,8,0,8,4,2,success
858,17,ffb4,3,8,4,4,4,2,success
860,10,0845,0,8,0,8,4,2,success
860,10,7739,1,8,4,4,4,2,success
860,10,0e6e,,8,8,0,4,2,fail
860,10,9c7c,,8,8,0,4,2,fail
860,17,0e6e,2,8,0,8,4,2,success
860,17,9c7c,3,8,4,4,4,2,success
864,10,13ee,0,8,0,8,4,2,success
864,10,67d4,1,8,4,4,4,2,success
864,10,e479,,8,8,0,4,2,fail
864,10,3ca3,,8,8,0,4,2,fail
864,10,d9ce,,8,8,0,4,2,fail
864,10,97ac,,8,8,0,4,2,fail
864,10,8a74,,8,8,0,4,2,fail
864,10,cd19,,8,8,0,4,2,fail
864,17,e479,2,8,0,8,4,2,success
864,17,3ca3,3,8,4,4,4,2,success
864,17,d9ce,,8,8,0,4,2,fail
864,17,97ac,,8,8,0,4,2,fail
864,17,8a74,,8,8,0,4,2,fail
864,17,cd19,,8,8,0,4,2,fail
866,10,2bb7,0,8,0,8,4,2,success
866,10,d8d8,1,8,4,4,4,2,success
866,10,393f,,8,8,0,4,2,fail
866,10,7297,,8,8,0,4,2,fail
866,10,8c3a,,8,8,0,4,2,fail
866,10,1baf,,8,8,0,4,2,fail
866,17,393f,2,8,0,8,4,2,success
866,17,7297,3,8,4,4,4,2,success
866,17,8c3a,,8,8,0,4,2,fail
866,17,1baf,,8,8,0,4,2,fail
868,10,2d5a,0,8,0,8,4,2,success
868,10,dd5d,1,8,4,4,4,2,success
868,10,dbac,,8,8,0,4,2,fail
868,10,70cd,,8,8,0,4,2,fail
868,17,dbac,2,8,0,8,4,2,success
868,17,70cd,3,8,4,4,4,2,success
870,10,1dca,0,8,0,8,4,2,success
870,10,6758,1,8,4,4,4,2,success
870,10,e792,,8,8,0,4,2,fail
870,10,a9d0,,8,8,0,4,2,fail
870,17,e792,2,8,0,8,4,2,success
870,17,a9d0,3,8,4,4,4,2,success
872,10,e2e6,0,8,0,8,4,2,success
872,10,38f3,1,8,4,4,4,2,success
872,10,0422,,8,8,0,4,2,fail
872,10,6276,,8,8,0,4,2,fail
872,17,0422,2,8,0,8,4,2,success
872,17,6276,3,8,4,4,4,2,success
874,10,82a0,0,8,0,8,4,2,success
874,10,73da,1,8,4,4,4,2,success
874,10,b8ee,,8,8,0,4,2,fail
874,10,263c,,8,8,0,4,2,fail
874,17,b8ee,2,8,0,8,4,2,success
874,17,263c,3,8,4,4,4,2,success
876,10,765c,0,8,0,8,4,2,success
876,10,7b3c,1,8,4,4,4,2,success
876,10,da86,,8,8,0,4,2,fail
876,10,cb5e,,8,8,0,4,2,fail
876,17,da86,2,8,0,8,4,2,success
876,17,cb5e,3,8,4,4,4,2,success
878,10,ef46,0,8,0,8,4,2,success
878,10,90f2,1,8,4,4,4,2,success
878,10,1faa,,8,8,0,4,2,fail
878,10,3b65,,8,8,0,4,2,fail
878,17,1faa,2,8,0,8,4,2,success
878,17,3b65,3,8,4,4,4,2,success
880,10,7486,0,8,0,8,4,2,success
880,10,c0f1,1,8,4,4,4,2,success
880,10,09e4,,8,8,0,4,2,fail
880,10,fe20,,8,8,0,4,2,fail
880,17,09e4,2,8,0,8,4,2,success
880,17,fe20,3,8,4,4,4,2,success
882,10,f1af,0,8,0,8,4,2,success
882,10,89eb,1,8,4,4,4,2,success
882,10,2374,,8,8,0,4,2,fail
882,10,503b,,8,8,0,4,2,fail
882,17,2374,2,8,0,8,4,2,success
882,17,503b,3,8,4,4,4,2,success
884,10,0a0c,0,8,0,8,4,2,success
884,10,817b,1,8,4,4,4,2,success
884,10,49b0,,8,8,0,4,2,fail
884,10,2c3b,,8,8,0,4,2,fail
884,17,49b0,2,8,0,8,4,2,success
884,17,2c3b,3,8,4,4,4,2,success
886,10,d731,0,8,0,8,4,2,success
886,10,43b1,1,8,4,4,4,2,success
886,10,1975,,8,8,0,4,2,fail
886,10,ad1b,,8,8,0,4,2,fail
886,17,1975,2,8,0,8,4,2,success
886,17,ad1b,3,8,4,4,4,2,success
888,10,6446,0,8,0,8,4,2,success
888,10,40e2,1,8,4,4,4,2,success
888,10,4ce8,,8,8,0,4,2,fail
888,10,c671,,8,8,0,4,2,fail
888,17,4ce8,2,8,0,8,4,2,success
888,17,c671,3,8,4,4,4,2,success
890,10,e379,0,8,0,8,4,2,success
890,10,8816,1,8,4,4,4,2,success
890,10,63c7,,8,8,0,4,2,fail
890,10,4713,,8,8,0,4,2,fail
890,17,63c7,2,8,0,8,4,2,success
890,17,4713,3,8,4,4,4,2,success
