ue_id,sched_frame,sched_slot,tx_frame,tx_slot,tda,rb_start,rb_count,rb_end
08a8,807,7,806,17,3,8,8,15
19bf,808,19,808,10,0,0,8,7
aa5f,808,19,808,10,0,8,8,15
5823,809,7,808,17,3,0,8,7
41c4,809,7,808,17,3,8,8,15
73cf,810,19,810,10,0,0,8,7
f672,810,19,810,10,0,8,8,15
786b,811,7,810,17,3,0,8,7
dc2e,811,7,810,17,3,8,8,15
ab40,812,19,812,10,0,0,8,7
c217,812,19,812,10,0,8,8,15
7a66,813,7,812,17,3,0,8,7
6df9,813,7,812,17,3,8,8,15
4b97,814,19,814,10,0,0,8,7
85f9,814,19,814,10,0,8,8,15
e6fd,815,7,814,17,3,0,8,7
1012,815,7,814,17,3,8,8,15
7f7b,816,19,816,10,0,0,8,7
983d,816,19,816,10,0,8,8,15
7053,817,7,816,17,3,0,8,7
4372,817,7,816,17,3,8,8,15
6aeb,818,19,818,10,0,0,8,7
79b1,818,19,818,10,0,8,8,15
fe2d,819,7,818,17,3,0,8,7
a8e0,819,7,818,17,3,8,8,15
d98a,820,19,820,10,0,0,8,7
f757,820,19,820,10,0,8,8,15
1ed8,821,7,820,17,3,0,8,7
c32b,821,7,820,17,3,8,8,15
3c51,822,19,822,10,0,0,8,7
bd33,822,19,822,10,0,8,8,15
43a5,823,7,822,17,3,0,8,7
9378,823,7,822,17,3,8,8,15
ea91,824,19,824,10,0,0,8,7
f130,824,19,824,10,0,8,8,15
da22,825,7,824,17,3,0,8,7
36b6,825,7,824,17,3,8,8,15
9dcd,826,19,826,10,0,0,8,7
37da,826,19,826,10,0,8,8,15
2ec1,827,7,826,17,3,0,8,7
dd87,827,7,826,17,3,8,8,15
9466,828,19,828,10,0,0,8,7
6826,828,19,828,10,0,8,8,15
916c,829,7,828,17,3,0,8,7
2757,829,7,828,17,3,8,8,15
4b80,830,19,830,10,0,0,8,7
54ac,830,19,830,10,0,8,8,15
6c95,831,7,830,17,3,0,8,7
953c,831,7,830,17,3,8,8,15
b407,832,19,832,10,0,0,8,7
f2b4,832,19,832,10,0,8,8,15
388a,833,7,832,17,3,0,8,7
8f51,833,7,832,17,3,8,8,15
ae53,834,19,834,10,0,0,8,7
025e,834,19,834,10,0,8,8,15
64e1,835,7,834,17,3,0,8,7
