ue_id,sched_frame,sched_slot,tx_frame,tx_slot,tda,rb_start,rb_count,rb_end
2da0,704,17,704,7,3,0,8,7
795e,704,17,704,7,3,8,8,15
831e,705,7,704,17,3,0,8,7
a9ad,705,7,704,17,3,8,8,15
c46f,705,17,705,7,3,0,8,7
834d,705,17,705,7,3,8,8,15
43b9,706,17,706,7,3,0,8,7
baca,706,17,706,7,3,8,8,15
2c01,707,17,707,7,3,0,8,7
f31e,707,17,707,7,3,8,8,15
23ec,708,17,708,7,3,0,8,7
5a7c,708,17,708,7,3,8,8,15
83f1,709,17,709,7,3,0,8,7
f04e,709,17,709,7,3,8,8,15
3e01,710,7,709,17,3,0,8,7
4f5a,710,7,709,17,3,8,8,15
4694,710,17,710,7,3,0,8,7
e092,710,17,710,7,3,8,8,15
9bde,711,17,711,7,3,0,8,7
c3cd,711,17,711,7,3,8,8,15
1a84,712,17,712,7,3,0,8,7
cd66,712,17,712,7,3,8,8,15
981b,713,17,713,7,3,0,8,7
5f7d,713,17,713,7,3,8,8,15
d5a8,714,17,714,7,3,0,8,7
a505,714,17,714,7,3,8,8,15
4ec0,715,7,714,17,3,0,8,7
0377,715,7,714,17,3,8,8,15
128c,715,17,715,7,3,0,8,7
3da6,715,17,715,7,3,8,8,15
83ac,716,17,716,7,3,0,8,7
fc24,716,17,716,7,3,8,8,15
ca04,717,17,717,7,3,0,8,7
931c,717,17,717,7,3,8,8,15
41c9,718,17,718,7,3,0,8,7
783d,718,17,718,7,3,8,8,15
129b,719,17,719,7,3,0,8,7
2bdc,719,17,719,7,3,8,8,15
3b5e,720,7,719,17,3,0,8,7
7759,720,7,719,17,3,8,8,15
5d85,720,17,720,7,3,0,8,7
7347,720,17,720,7,3,8,8,15
7e74,721,17,721,7,3,0,8,7
4b85,721,17,721,7,3,8,8,15
bed7,722,17,722,7,3,0,8,7
493b,722,17,722,7,3,8,8,15
c7d8,723,17,723,7,3,0,8,7
84b5,723,17,723,7,3,8,8,15
66d0,724,17,724,7,3,0,8,7
005e,724,17,724,7,3,8,8,15
1823,725,7,724,17,3,0,8,7
fd71,725,7,724,17,3,8,8,15
